Resumen de solapamientos — Feature: feature_18567
Tolerancia: 0.0
Total coincidencias: 4721
Pares de páginas con solapamiento: 1911

Par de páginas                            Solapamientos
--------------------------------------------------------
pagina_13 <-> pagina_16                              3
pagina_13 <-> pagina_18                              3
pagina_13 <-> pagina_25                              3
pagina_13 <-> pagina_27                              3
pagina_13 <-> pagina_29                              3
pagina_13 <-> pagina_31                              3
pagina_13 <-> pagina_32                              3
pagina_13 <-> pagina_41                              3
pagina_13 <-> pagina_42                              3
pagina_13 <-> pagina_50                              3
pagina_13 <-> pagina_51                              3
pagina_13 <-> pagina_52                              3
pagina_13 <-> pagina_60                              3
pagina_13 <-> pagina_61                              3
pagina_13 <-> pagina_62                              3
pagina_13 <-> pagina_72                              3
pagina_13 <-> pagina_80                              3
pagina_13 <-> pagina_81                              3
pagina_13 <-> pagina_82                              3
pagina_13 <-> pagina_91                              3
pagina_16 <-> pagina_18                              3
pagina_16 <-> pagina_25                              3
pagina_16 <-> pagina_27                              3
pagina_16 <-> pagina_29                              3
pagina_16 <-> pagina_31                              3
pagina_16 <-> pagina_32                              3
pagina_16 <-> pagina_41                              3
pagina_16 <-> pagina_42                              3
pagina_16 <-> pagina_50                              3
pagina_16 <-> pagina_51                              3
pagina_16 <-> pagina_52                              3
pagina_16 <-> pagina_60                              3
pagina_16 <-> pagina_61                              3
pagina_16 <-> pagina_62                              3
pagina_16 <-> pagina_72                              3
pagina_16 <-> pagina_80                              3
pagina_16 <-> pagina_81                              3
pagina_16 <-> pagina_82                              3
pagina_16 <-> pagina_91                              3
pagina_18 <-> pagina_25                              3
pagina_18 <-> pagina_27                              3
pagina_18 <-> pagina_29                              3
pagina_18 <-> pagina_31                              3
pagina_18 <-> pagina_32                              3
pagina_18 <-> pagina_41                              3
pagina_18 <-> pagina_42                              3
pagina_18 <-> pagina_50                              3
pagina_18 <-> pagina_51                              3
pagina_18 <-> pagina_52                              3
pagina_18 <-> pagina_60                              3
pagina_18 <-> pagina_61                              3
pagina_18 <-> pagina_62                              3
pagina_18 <-> pagina_72                              3
pagina_18 <-> pagina_80                              3
pagina_18 <-> pagina_81                              3
pagina_18 <-> pagina_82                              3
pagina_18 <-> pagina_91                              3
pagina_25 <-> pagina_27                              3
pagina_25 <-> pagina_29                              3
pagina_25 <-> pagina_31                              3
pagina_25 <-> pagina_32                              3
pagina_25 <-> pagina_41                              3
pagina_25 <-> pagina_42                              3
pagina_25 <-> pagina_50                              3
pagina_25 <-> pagina_51                              3
pagina_25 <-> pagina_52                              3
pagina_25 <-> pagina_60                              3
pagina_25 <-> pagina_61                              3
pagina_25 <-> pagina_62                              3
pagina_25 <-> pagina_72                              3
pagina_25 <-> pagina_80                              3
pagina_25 <-> pagina_81                              3
pagina_25 <-> pagina_82                              3
pagina_25 <-> pagina_91                              3
pagina_27 <-> pagina_29                              3
pagina_27 <-> pagina_31                              3
pagina_27 <-> pagina_32                              3
pagina_27 <-> pagina_41                              3
pagina_27 <-> pagina_42                              3
pagina_27 <-> pagina_50                              3
pagina_27 <-> pagina_51                              3
pagina_27 <-> pagina_52                              3
pagina_27 <-> pagina_60                              3
pagina_27 <-> pagina_61                              3
pagina_27 <-> pagina_62                              3
pagina_27 <-> pagina_72                              3
pagina_27 <-> pagina_80                              3
pagina_27 <-> pagina_81                              3
pagina_27 <-> pagina_82                              3
pagina_27 <-> pagina_91                              3
pagina_29 <-> pagina_31                              3
pagina_29 <-> pagina_32                              3
pagina_29 <-> pagina_41                              3
pagina_29 <-> pagina_42                              3
pagina_29 <-> pagina_50                              3
pagina_29 <-> pagina_51                              3
pagina_29 <-> pagina_52                              3
pagina_29 <-> pagina_60                              3
pagina_29 <-> pagina_61                              3
pagina_29 <-> pagina_62                              3
pagina_29 <-> pagina_72                              3
pagina_29 <-> pagina_80                              3
pagina_29 <-> pagina_81                              3
pagina_29 <-> pagina_82                              3
pagina_29 <-> pagina_91                              3
pagina_31 <-> pagina_32                              3
