Resumen de solapamientos — Feature: feature_4
Tolerancia: 0.0
Total coincidencias: 10
Pares de páginas con solapamiento: 8

Par de páginas                            Solapamientos
--------------------------------------------------------
pagina_72 <-> pagina_74                              3
pagina_12 <-> pagina_42                              1
pagina_16 <-> pagina_81                              1
pagina_18 <-> pagina_64                              1
pagina_20 <-> pagina_37                              1
pagina_44 <-> pagina_64                              1
pagina_49 <-> pagina_93                              1
pagina_60 <-> pagina_64                              1
