Resumen de solapamientos — Feature: feature_13
Tolerancia: 0.0
Total coincidencias: 1904
Pares de páginas con solapamiento: 745

Par de páginas                            Solapamientos
--------------------------------------------------------
pagina_19 <-> pagina_20                              8
pagina_19 <-> pagina_22                              8
pagina_20 <-> pagina_22                              8
pagina_25 <-> pagina_28                              7
pagina_27 <-> pagina_28                              7
pagina_47 <-> pagina_50                              7
pagina_50 <-> pagina_51                              7
pagina_11 <-> pagina_13                              6
pagina_14 <-> pagina_15                              6
pagina_18 <-> pagina_19                              6
pagina_18 <-> pagina_20                              6
pagina_18 <-> pagina_22                              6
pagina_21 <-> pagina_22                              6
pagina_21 <-> pagina_25                              6
pagina_21 <-> pagina_28                              6
pagina_23 <-> pagina_25                              6
pagina_23 <-> pagina_26                              6
pagina_25 <-> pagina_26                              6
pagina_26 <-> pagina_27                              6
pagina_26 <-> pagina_28                              6
pagina_28 <-> pagina_31                              6
pagina_29 <-> pagina_30                              6
pagina_29 <-> pagina_31                              6
pagina_29 <-> pagina_32                              6
pagina_32 <-> pagina_33                              6
pagina_37 <-> pagina_40                              6
pagina_39 <-> pagina_40                              6
pagina_42 <-> pagina_44                              6
pagina_44 <-> pagina_46                              6
pagina_44 <-> pagina_47                              6
pagina_44 <-> pagina_50                              6
pagina_47 <-> pagina_48                              6
pagina_47 <-> pagina_51                              6
pagina_49 <-> pagina_50                              6
pagina_50 <-> pagina_52                              6
pagina_50 <-> pagina_53                              6
pagina_51 <-> pagina_52                              6
pagina_52 <-> pagina_53                              6
pagina_56 <-> pagina_57                              6
pagina_56 <-> pagina_58                              6
pagina_59 <-> pagina_60                              6
pagina_67 <-> pagina_68                              6
pagina_10 <-> pagina_11                              5
pagina_14 <-> pagina_16                              5
pagina_14 <-> pagina_17                              5
pagina_15 <-> pagina_16                              5
pagina_17 <-> pagina_18                              5
pagina_19 <-> pagina_21                              5
pagina_20 <-> pagina_21                              5
pagina_21 <-> pagina_24                              5
pagina_22 <-> pagina_24                              5
pagina_22 <-> pagina_25                              5
pagina_22 <-> pagina_28                              5
pagina_23 <-> pagina_27                              5
pagina_23 <-> pagina_28                              5
pagina_24 <-> pagina_25                              5
pagina_25 <-> pagina_27                              5
pagina_27 <-> pagina_29                              5
pagina_27 <-> pagina_31                              5
pagina_28 <-> pagina_29                              5
pagina_30 <-> pagina_31                              5
pagina_30 <-> pagina_32                              5
pagina_31 <-> pagina_32                              5
pagina_32 <-> pagina_35                              5
pagina_34 <-> pagina_35                              5
pagina_34 <-> pagina_36                              5
pagina_34 <-> pagina_38                              5
pagina_36 <-> pagina_38                              5
pagina_37 <-> pagina_38                              5
pagina_37 <-> pagina_39                              5
pagina_38 <-> pagina_40                              5
pagina_39 <-> pagina_50                              5
pagina_4 <-> pagina_5                               5
pagina_40 <-> pagina_50                              5
pagina_42 <-> pagina_50                              5
pagina_43 <-> pagina_44                              5
pagina_44 <-> pagina_45                              5
pagina_44 <-> pagina_53                              5
pagina_45 <-> pagina_47                              5
pagina_46 <-> pagina_47                              5
pagina_47 <-> pagina_53                              5
pagina_48 <-> pagina_51                              5
pagina_49 <-> pagina_51                              5
pagina_49 <-> pagina_52                              5
pagina_5 <-> pagina_6                               5
pagina_51 <-> pagina_53                              5
pagina_53 <-> pagina_54                              5
pagina_53 <-> pagina_55                              5
pagina_54 <-> pagina_55                              5
pagina_57 <-> pagina_58                              5
pagina_59 <-> pagina_61                              5
pagina_6 <-> pagina_7                               5
pagina_60 <-> pagina_61                              5
pagina_66 <-> pagina_67                              5
pagina_66 <-> pagina_68                              5
pagina_67 <-> pagina_70                              5
pagina_68 <-> pagina_69                              5
pagina_70 <-> pagina_72                              5
pagina_71 <-> pagina_72                              5
pagina_74 <-> pagina_77                              5
pagina_75 <-> pagina_77                              5
pagina_75 <-> pagina_78                              5
pagina_75 <-> pagina_79                              5
pagina_77 <-> pagina_79                              5
pagina_78 <-> pagina_79                              5
pagina_8 <-> pagina_9                               5
pagina_85 <-> pagina_86                              5
pagina_85 <-> pagina_87                              5
pagina_98 <-> pagina_99                              5
pagina_10 <-> pagina_12                              4
pagina_10 <-> pagina_13                              4
pagina_10 <-> pagina_8                               4
pagina_11 <-> pagina_12                              4
pagina_11 <-> pagina_8                               4
pagina_13 <-> pagina_14                              4
pagina_13 <-> pagina_15                              4
pagina_13 <-> pagina_16                              4
pagina_14 <-> pagina_18                              4
pagina_15 <-> pagina_17                              4
pagina_16 <-> pagina_17                              4
pagina_17 <-> pagina_19                              4
pagina_17 <-> pagina_20                              4
pagina_17 <-> pagina_22                              4
pagina_19 <-> pagina_24                              4
pagina_19 <-> pagina_25                              4
pagina_19 <-> pagina_28                              4
pagina_20 <-> pagina_24                              4
pagina_20 <-> pagina_25                              4
pagina_20 <-> pagina_28                              4
pagina_21 <-> pagina_23                              4
pagina_21 <-> pagina_26                              4
pagina_23 <-> pagina_24                              4
pagina_24 <-> pagina_26                              4
pagina_24 <-> pagina_28                              4
pagina_26 <-> pagina_31                              4
pagina_27 <-> pagina_30                              4
pagina_27 <-> pagina_32                              4
pagina_28 <-> pagina_30                              4
pagina_28 <-> pagina_32                              4
pagina_29 <-> pagina_33                              4
pagina_3 <-> pagina_5                               4
pagina_30 <-> pagina_33                              4
pagina_31 <-> pagina_33                              4
pagina_33 <-> pagina_35                              4
pagina_34 <-> pagina_37                              4
pagina_34 <-> pagina_40                              4
pagina_35 <-> pagina_36                              4
pagina_35 <-> pagina_38                              4
pagina_36 <-> pagina_37                              4
pagina_36 <-> pagina_40                              4
pagina_37 <-> pagina_50                              4
pagina_38 <-> pagina_39                              4
pagina_39 <-> pagina_41                              4
pagina_4 <-> pagina_6                               4
pagina_40 <-> pagina_41                              4
pagina_40 <-> pagina_42                              4
pagina_41 <-> pagina_42                              4
pagina_41 <-> pagina_44                              4
pagina_41 <-> pagina_50                              4
pagina_42 <-> pagina_43                              4
pagina_42 <-> pagina_46                              4
pagina_42 <-> pagina_47                              4
pagina_43 <-> pagina_45                              4
pagina_43 <-> pagina_46                              4
pagina_43 <-> pagina_50                              4
pagina_45 <-> pagina_46                              4
pagina_45 <-> pagina_48                              4
pagina_45 <-> pagina_50                              4
pagina_45 <-> pagina_51                              4
pagina_46 <-> pagina_50                              4
pagina_46 <-> pagina_53                              4
pagina_47 <-> pagina_52                              4
pagina_48 <-> pagina_50                              4
pagina_5 <-> pagina_7                               4
pagina_52 <-> pagina_55                              4
pagina_55 <-> pagina_56                              4
pagina_55 <-> pagina_57                              4
pagina_55 <-> pagina_58                              4
pagina_56 <-> pagina_59                              4
pagina_56 <-> pagina_60                              4
pagina_56 <-> pagina_65                              4
pagina_58 <-> pagina_59                              4
pagina_58 <-> pagina_60                              4
pagina_58 <-> pagina_65                              4
pagina_61 <-> pagina_62                              4
pagina_64 <-> pagina_65                              4
pagina_66 <-> pagina_69                              4
pagina_67 <-> pagina_69                              4
pagina_67 <-> pagina_72                              4
pagina_68 <-> pagina_70                              4
pagina_68 <-> pagina_72                              4
pagina_7 <-> pagina_8                               4
pagina_70 <-> pagina_71                              4
pagina_72 <-> pagina_73                              4
pagina_72 <-> pagina_75                              4
pagina_74 <-> pagina_75                              4
pagina_74 <-> pagina_79                              4
pagina_75 <-> pagina_76                              4
pagina_76 <-> pagina_77                              4
pagina_76 <-> pagina_79                              4
pagina_84 <-> pagina_85                              4
pagina_85 <-> pagina_88                              4
pagina_85 <-> pagina_91                              4
pagina_86 <-> pagina_87                              4
pagina_86 <-> pagina_88                              4
pagina_86 <-> pagina_89                              4
pagina_86 <-> pagina_91                              4
pagina_90 <-> pagina_91                              4
pagina_90 <-> pagina_92                              4
pagina_91 <-> pagina_92                              4
pagina_96 <-> pagina_98                              4
pagina_97 <-> pagina_98                              4
pagina_10 <-> pagina_9                               3
pagina_11 <-> pagina_14                              3
pagina_11 <-> pagina_15                              3
pagina_11 <-> pagina_16                              3
pagina_11 <-> pagina_9                               3
pagina_12 <-> pagina_13                              3
pagina_12 <-> pagina_8                               3
pagina_13 <-> pagina_8                               3
pagina_14 <-> pagina_19                              3
pagina_14 <-> pagina_20                              3
pagina_14 <-> pagina_22                              3
pagina_15 <-> pagina_18                              3
pagina_16 <-> pagina_18                              3
pagina_18 <-> pagina_21                              3
pagina_18 <-> pagina_28                              3
pagina_2 <-> pagina_5                               3
pagina_21 <-> pagina_27                              3
pagina_22 <-> pagina_23                              3
pagina_22 <-> pagina_26                              3
pagina_23 <-> pagina_31                              3
pagina_24 <-> pagina_27                              3
pagina_25 <-> pagina_31                              3
pagina_26 <-> pagina_29                              3
pagina_3 <-> pagina_4                               3
pagina_32 <-> pagina_34                              3
pagina_34 <-> pagina_39                              3
pagina_35 <-> pagina_37                              3
pagina_35 <-> pagina_40                              3
pagina_36 <-> pagina_39                              3
pagina_37 <-> pagina_41                              3
pagina_37 <-> pagina_42                              3
pagina_38 <-> pagina_50                              3
pagina_39 <-> pagina_42                              3
pagina_39 <-> pagina_44                              3
pagina_39 <-> pagina_46                              3
pagina_4 <-> pagina_7                               3
pagina_40 <-> pagina_44                              3
pagina_40 <-> pagina_46                              3
pagina_41 <-> pagina_46                              3
pagina_42 <-> pagina_45                              3
pagina_42 <-> pagina_53                              3
pagina_43 <-> pagina_47                              3
pagina_44 <-> pagina_48                              3
pagina_44 <-> pagina_51                              3
pagina_44 <-> pagina_52                              3
pagina_45 <-> pagina_53                              3
pagina_46 <-> pagina_48                              3
pagina_46 <-> pagina_51                              3
pagina_46 <-> pagina_52                              3
pagina_47 <-> pagina_49                              3
pagina_48 <-> pagina_49                              3
pagina_48 <-> pagina_52                              3
pagina_52 <-> pagina_54                              3
pagina_54 <-> pagina_56                              3
pagina_54 <-> pagina_57                              3
pagina_54 <-> pagina_58                              3
pagina_55 <-> pagina_59                              3
pagina_55 <-> pagina_60                              3
pagina_55 <-> pagina_65                              3
pagina_56 <-> pagina_61                              3
pagina_57 <-> pagina_59                              3
pagina_57 <-> pagina_60                              3
pagina_57 <-> pagina_65                              3
pagina_58 <-> pagina_61                              3
pagina_59 <-> pagina_62                              3
pagina_59 <-> pagina_63                              3
pagina_6 <-> pagina_8                               3
pagina_60 <-> pagina_62                              3
pagina_61 <-> pagina_63                              3
pagina_61 <-> pagina_65                              3
