Resumen de solapamientos — Feature: feature_1
Tolerancia: 0.0
Total coincidencias: 12933
Pares de páginas con solapamiento: 1987

Par de páginas                            Solapamientos
pagina_85 <-> pagina_90                             17
pagina_85 <-> pagina_96                             17
pagina_86 <-> pagina_92                             17
pagina_87 <-> pagina_92                             17
pagina_89 <-> pagina_96                             17
pagina_100 <-> pagina_84                             16
pagina_52 <-> pagina_95                             16
pagina_65 <-> pagina_67                             16
pagina_65 <-> pagina_72                             16
pagina_66 <-> pagina_68                             16
pagina_67 <-> pagina_69                             16
pagina_68 <-> pagina_72                             16
pagina_69 <-> pagina_76                             16
pagina_72 <-> pagina_76                             16
pagina_76 <-> pagina_91                             16
pagina_78 <-> pagina_90                             16
pagina_79 <-> pagina_83                             16
pagina_79 <-> pagina_88                             16
pagina_79 <-> pagina_90                             16
pagina_80 <-> pagina_81                             16
pagina_80 <-> pagina_96                             16
pagina_81 <-> pagina_85                             16
pagina_81 <-> pagina_91                             16
pagina_82 <-> pagina_97                             16
pagina_83 <-> pagina_92                             16
pagina_84 <-> pagina_86                             16
pagina_84 <-> pagina_95                             16
pagina_85 <-> pagina_92                             16
pagina_85 <-> pagina_97                             16
pagina_85 <-> pagina_99                             16
pagina_89 <-> pagina_99                             16
pagina_90 <-> pagina_99                             16
pagina_100 <-> pagina_79                             15
pagina_53 <-> pagina_54                             15
pagina_60 <-> pagina_62                             15
pagina_62 <-> pagina_63                             15
pagina_63 <-> pagina_97                             15
pagina_65 <-> pagina_69                             15
pagina_66 <-> pagina_67                             15
pagina_67 <-> pagina_72                             15
pagina_68 <-> pagina_95                             15
pagina_69 <-> pagina_75                             15
pagina_70 <-> pagina_72                             15
pagina_71 <-> pagina_74                             15
pagina_71 <-> pagina_75                             15
pagina_72 <-> pagina_75                             15
pagina_73 <-> pagina_74                             15
pagina_73 <-> pagina_76                             15
pagina_74 <-> pagina_75                             15
pagina_75 <-> pagina_77                             15
pagina_75 <-> pagina_83                             15
pagina_75 <-> pagina_85                             15
pagina_75 <-> pagina_97                             15
pagina_75 <-> pagina_99                             15
pagina_76 <-> pagina_87                             15
pagina_77 <-> pagina_80                             15
pagina_78 <-> pagina_91                             15
pagina_78 <-> pagina_99                             15
pagina_79 <-> pagina_97                             15
pagina_79 <-> pagina_98                             15
pagina_80 <-> pagina_86                             15
pagina_80 <-> pagina_89                             15
pagina_80 <-> pagina_90                             15
pagina_80 <-> pagina_99                             15
pagina_81 <-> pagina_95                             15
pagina_81 <-> pagina_96                             15
pagina_82 <-> pagina_90                             15
pagina_82 <-> pagina_94                             15
pagina_82 <-> pagina_99                             15
pagina_83 <-> pagina_90                             15
pagina_84 <-> pagina_97                             15
pagina_100 <-> pagina_82                             14
pagina_41 <-> pagina_44                             14
pagina_51 <-> pagina_52                             14
pagina_53 <-> pagina_56                             14
pagina_63 <-> pagina_95                             14
pagina_68 <-> pagina_74                             14
pagina_69 <-> pagina_70                             14
pagina_69 <-> pagina_71                             14
pagina_71 <-> pagina_72                             14
pagina_72 <-> pagina_96                             14
pagina_75 <-> pagina_92                             14
pagina_75 <-> pagina_94                             14
pagina_75 <-> pagina_98                             14
pagina_76 <-> pagina_96                             14
pagina_76 <-> pagina_98                             14
pagina_77 <-> pagina_97                             14
pagina_78 <-> pagina_96                             14
pagina_78 <-> pagina_97                             14
pagina_79 <-> pagina_84                             14
pagina_79 <-> pagina_86                             14
pagina_79 <-> pagina_89                             14
pagina_79 <-> pagina_92                             14
pagina_80 <-> pagina_94                             14
pagina_80 <-> pagina_95                             14
pagina_81 <-> pagina_83                             14
pagina_81 <-> pagina_84                             14
pagina_82 <-> pagina_87                             14
pagina_82 <-> pagina_89                             14
pagina_84 <-> pagina_87                             14
pagina_84 <-> pagina_96                             14
pagina_85 <-> pagina_87                             14
pagina_86 <-> pagina_99                             14
pagina_100 <-> pagina_77                             13
pagina_41 <-> pagina_43                             13
pagina_48 <-> pagina_49                             13
pagina_52 <-> pagina_94                             13
pagina_54 <-> pagina_56                             13
pagina_57 <-> pagina_94                             13
pagina_60 <-> pagina_61                             13
pagina_61 <-> pagina_62                             13
pagina_66 <-> pagina_69                             13
pagina_66 <-> pagina_95                             13
pagina_67 <-> pagina_70                             13
pagina_68 <-> pagina_70                             13
pagina_68 <-> pagina_91                             13
pagina_68 <-> pagina_98                             13
pagina_68 <-> pagina_99                             13
pagina_69 <-> pagina_96                             13
pagina_70 <-> pagina_74                             13
pagina_71 <-> pagina_73                             13
pagina_72 <-> pagina_98                             13
pagina_73 <-> pagina_75                             13
pagina_74 <-> pagina_87                             13
pagina_74 <-> pagina_88                             13
pagina_74 <-> pagina_91                             13
pagina_74 <-> pagina_96                             13
pagina_75 <-> pagina_86                             13
pagina_75 <-> pagina_89                             13
pagina_75 <-> pagina_93                             13
pagina_76 <-> pagina_77                             13
pagina_76 <-> pagina_79                             13
pagina_77 <-> pagina_98                             13
pagina_77 <-> pagina_99                             13
pagina_78 <-> pagina_85                             13
pagina_78 <-> pagina_92                             13
pagina_78 <-> pagina_95                             13
pagina_79 <-> pagina_81                             13
pagina_79 <-> pagina_87                             13
pagina_80 <-> pagina_92                             13
pagina_80 <-> pagina_98                             13
pagina_81 <-> pagina_82                             13
pagina_81 <-> pagina_90                             13
pagina_81 <-> pagina_94                             13
pagina_81 <-> pagina_98                             13
pagina_82 <-> pagina_95                             13
pagina_82 <-> pagina_98                             13
pagina_84 <-> pagina_90                             13
pagina_84 <-> pagina_94                             13
pagina_85 <-> pagina_93                             13
pagina_100 <-> pagina_75                             12
pagina_100 <-> pagina_78                             12
pagina_38 <-> pagina_40                             12
pagina_41 <-> pagina_45                             12
pagina_43 <-> pagina_44                             12
pagina_54 <-> pagina_94                             12
pagina_60 <-> pagina_63                             12
pagina_60 <-> pagina_94                             12
pagina_62 <-> pagina_64                             12
pagina_63 <-> pagina_64                             12
pagina_63 <-> pagina_65                             12
pagina_63 <-> pagina_98                             12
pagina_63 <-> pagina_99                             12
pagina_65 <-> pagina_95                             12
pagina_66 <-> pagina_72                             12
pagina_66 <-> pagina_98                             12
pagina_68 <-> pagina_76                             12
pagina_68 <-> pagina_97                             12
pagina_69 <-> pagina_98                             12
pagina_70 <-> pagina_76                             12
pagina_71 <-> pagina_78                             12
pagina_72 <-> pagina_87                             12
pagina_72 <-> pagina_90                             12
pagina_73 <-> pagina_91                             12
pagina_74 <-> pagina_79                             12
pagina_74 <-> pagina_95                             12
pagina_74 <-> pagina_97                             12
pagina_75 <-> pagina_95                             12
pagina_76 <-> pagina_83                             12
pagina_76 <-> pagina_85                             12
pagina_76 <-> pagina_92                             12
pagina_77 <-> pagina_84                             12
pagina_77 <-> pagina_86                             12
pagina_77 <-> pagina_90                             12
pagina_78 <-> pagina_83                             12
pagina_78 <-> pagina_84                             12
pagina_78 <-> pagina_86                             12
pagina_78 <-> pagina_89                             12
pagina_78 <-> pagina_93                             12
pagina_78 <-> pagina_94                             12
pagina_79 <-> pagina_82                             12
pagina_79 <-> pagina_94                             12
pagina_81 <-> pagina_86                             12
pagina_81 <-> pagina_87                             12
pagina_84 <-> pagina_99                             12
pagina_100 <-> pagina_52                             11
pagina_100 <-> pagina_63                             11
pagina_100 <-> pagina_69                             11
pagina_100 <-> pagina_72                             11
