Resumen de solapamientos — Feature: feature_16455
Tolerancia: 0.0
Total coincidencias: 2619
Pares de páginas con solapamiento: 1562

Par de páginas                            Solapamientos
--------------------------------------------------------
pagina_2 <-> pagina_3                               7
pagina_4 <-> pagina_5                               7
pagina_1 <-> pagina_2                               6
pagina_1 <-> pagina_3                               6
pagina_1 <-> pagina_4                               6
pagina_19 <-> pagina_44                              6
pagina_4 <-> pagina_8                               6
pagina_5 <-> pagina_8                               6
pagina_50 <-> pagina_69                              6
pagina_50 <-> pagina_71                              6
pagina_69 <-> pagina_71                              6
pagina_8 <-> pagina_9                               6
pagina_1 <-> pagina_5                               5
pagina_1 <-> pagina_6                               5
pagina_10 <-> pagina_5                               5
pagina_10 <-> pagina_8                               5
pagina_10 <-> pagina_9                               5
pagina_13 <-> pagina_15                              5
pagina_13 <-> pagina_8                               5
pagina_15 <-> pagina_21                              5
pagina_16 <-> pagina_20                              5
pagina_19 <-> pagina_39                              5
pagina_2 <-> pagina_4                               5
pagina_2 <-> pagina_5                               5
pagina_21 <-> pagina_27                              5
pagina_25 <-> pagina_31                              5
pagina_28 <-> pagina_31                              5
pagina_3 <-> pagina_5                               5
pagina_31 <-> pagina_33                              5
pagina_39 <-> pagina_46                              5
pagina_39 <-> pagina_50                              5
pagina_4 <-> pagina_6                               5
pagina_44 <-> pagina_48                              5
pagina_54 <-> pagina_60                              5
pagina_1 <-> pagina_10                              4
pagina_1 <-> pagina_8                               4
pagina_1 <-> pagina_9                               4
pagina_10 <-> pagina_2                               4
pagina_10 <-> pagina_4                               4
pagina_10 <-> pagina_6                               4
pagina_11 <-> pagina_13                              4
pagina_11 <-> pagina_15                              4
pagina_11 <-> pagina_8                               4
pagina_12 <-> pagina_13                              4
pagina_12 <-> pagina_15                              4
pagina_15 <-> pagina_16                              4
pagina_15 <-> pagina_17                              4
pagina_15 <-> pagina_20                              4
pagina_15 <-> pagina_25                              4
pagina_15 <-> pagina_27                              4
pagina_16 <-> pagina_21                              4
pagina_17 <-> pagina_7                               4
pagina_18 <-> pagina_19                              4
pagina_19 <-> pagina_31                              4
pagina_19 <-> pagina_33                              4
pagina_19 <-> pagina_43                              4
pagina_19 <-> pagina_46                              4
pagina_19 <-> pagina_48                              4
pagina_2 <-> pagina_8                               4
pagina_20 <-> pagina_7                               4
pagina_21 <-> pagina_25                              4
pagina_29 <-> pagina_31                              4
pagina_3 <-> pagina_4                               4
pagina_31 <-> pagina_36                              4
pagina_31 <-> pagina_38                              4
pagina_33 <-> pagina_38                              4
pagina_39 <-> pagina_44                              4
pagina_4 <-> pagina_9                               4
pagina_41 <-> pagina_44                              4
pagina_43 <-> pagina_44                              4
pagina_43 <-> pagina_48                              4
pagina_44 <-> pagina_47                              4
pagina_44 <-> pagina_5                               4
pagina_44 <-> pagina_54                              4
pagina_44 <-> pagina_60                              4
pagina_46 <-> pagina_50                              4
pagina_5 <-> pagina_6                               4
pagina_5 <-> pagina_9                               4
pagina_50 <-> pagina_53                              4
pagina_50 <-> pagina_84                              4
pagina_52 <-> pagina_54                              4
pagina_52 <-> pagina_60                              4
pagina_52 <-> pagina_61                              4
pagina_54 <-> pagina_61                              4
pagina_58 <-> pagina_60                              4
pagina_6 <-> pagina_8                               4
pagina_6 <-> pagina_9                               4
pagina_60 <-> pagina_61                              4
pagina_63 <-> pagina_69                              4
pagina_69 <-> pagina_75                              4
pagina_69 <-> pagina_77                              4
pagina_69 <-> pagina_85                              4
pagina_71 <-> pagina_84                              4
pagina_84 <-> pagina_85                              4
pagina_84 <-> pagina_88                              4
pagina_10 <-> pagina_12                              3
pagina_10 <-> pagina_13                              3
pagina_10 <-> pagina_3                               3
pagina_10 <-> pagina_7                               3
pagina_11 <-> pagina_12                              3
pagina_11 <-> pagina_16                              3
pagina_11 <-> pagina_20                              3
pagina_11 <-> pagina_9                               3
pagina_12 <-> pagina_16                              3
pagina_12 <-> pagina_21                              3
pagina_12 <-> pagina_6                               3
pagina_12 <-> pagina_8                               3
pagina_12 <-> pagina_9                               3
pagina_13 <-> pagina_14                              3
pagina_13 <-> pagina_16                              3
pagina_13 <-> pagina_17                              3
pagina_13 <-> pagina_2                               3
pagina_13 <-> pagina_20                              3
pagina_13 <-> pagina_21                              3
pagina_13 <-> pagina_4                               3
pagina_13 <-> pagina_9                               3
pagina_14 <-> pagina_15                              3
pagina_14 <-> pagina_16                              3
pagina_14 <-> pagina_17                              3
pagina_14 <-> pagina_28                              3
pagina_14 <-> pagina_5                               3
pagina_14 <-> pagina_8                               3
pagina_15 <-> pagina_18                              3
pagina_15 <-> pagina_26                              3
pagina_15 <-> pagina_7                               3
pagina_15 <-> pagina_8                               3
pagina_16 <-> pagina_27                              3
pagina_16 <-> pagina_7                               3
pagina_17 <-> pagina_18                              3
pagina_17 <-> pagina_19                              3
pagina_17 <-> pagina_20                              3
pagina_18 <-> pagina_20                              3
pagina_18 <-> pagina_21                              3
pagina_18 <-> pagina_22                              3
pagina_18 <-> pagina_25                              3
pagina_19 <-> pagina_2                               3
pagina_19 <-> pagina_22                              3
pagina_19 <-> pagina_25                              3
pagina_19 <-> pagina_36                              3
pagina_19 <-> pagina_38                              3
pagina_19 <-> pagina_40                              3
pagina_19 <-> pagina_41                              3
pagina_19 <-> pagina_45                              3
pagina_19 <-> pagina_49                              3
pagina_19 <-> pagina_5                               3
pagina_19 <-> pagina_50                              3
pagina_2 <-> pagina_6                               3
pagina_2 <-> pagina_9                               3
pagina_20 <-> pagina_21                              3
pagina_20 <-> pagina_25                              3
pagina_21 <-> pagina_26                              3
pagina_21 <-> pagina_28                              3
pagina_22 <-> pagina_25                              3
pagina_22 <-> pagina_47                              3
pagina_22 <-> pagina_50                              3
pagina_22 <-> pagina_53                              3
pagina_22 <-> pagina_69                              3
pagina_22 <-> pagina_71                              3
pagina_25 <-> pagina_27                              3
pagina_25 <-> pagina_28                              3
pagina_26 <-> pagina_27                              3
pagina_27 <-> pagina_28                              3
pagina_28 <-> pagina_29                              3
pagina_28 <-> pagina_60                              3
pagina_28 <-> pagina_70                              3
pagina_3 <-> pagina_6                               3
pagina_3 <-> pagina_8                               3
pagina_3 <-> pagina_9                               3
pagina_30 <-> pagina_31                              3
pagina_31 <-> pagina_40                              3
pagina_33 <-> pagina_35                              3
pagina_33 <-> pagina_36                              3
pagina_33 <-> pagina_40                              3
pagina_37 <-> pagina_40                              3
pagina_39 <-> pagina_40                              3
pagina_39 <-> pagina_41                              3
pagina_39 <-> pagina_43                              3
pagina_39 <-> pagina_45                              3
pagina_39 <-> pagina_48                              3
pagina_4 <-> pagina_7                               3
pagina_40 <-> pagina_46                              3
pagina_41 <-> pagina_46                              3
pagina_43 <-> pagina_50                              3
pagina_44 <-> pagina_45                              3
pagina_44 <-> pagina_46                              3
pagina_44 <-> pagina_49                              3
pagina_44 <-> pagina_50                              3
pagina_44 <-> pagina_52                              3
pagina_44 <-> pagina_53                              3
pagina_44 <-> pagina_57                              3
pagina_44 <-> pagina_61                              3
pagina_46 <-> pagina_71                              3
pagina_47 <-> pagina_48                              3
pagina_47 <-> pagina_5                               3
pagina_47 <-> pagina_53                              3
pagina_47 <-> pagina_57                              3
pagina_48 <-> pagina_50                              3
pagina_48 <-> pagina_53                              3
pagina_49 <-> pagina_5                               3
pagina_5 <-> pagina_7                               3
pagina_50 <-> pagina_63                              3
pagina_50 <-> pagina_72                              3
pagina_50 <-> pagina_78                              3
pagina_50 <-> pagina_83                              3
pagina_50 <-> pagina_88                              3
pagina_51 <-> pagina_52                              3
pagina_51 <-> pagina_54                              3
pagina_51 <-> pagina_58                              3
pagina_51 <-> pagina_60                              3
pagina_51 <-> pagina_61                              3
pagina_52 <-> pagina_58                              3
pagina_53 <-> pagina_63                              3
pagina_53 <-> pagina_69                              3
pagina_53 <-> pagina_71                              3
pagina_53 <-> pagina_83                              3
pagina_53 <-> pagina_84                              3
pagina_54 <-> pagina_58                              3
pagina_54 <-> pagina_65                              3
pagina_58 <-> pagina_61                              3
pagina_6 <-> pagina_7                               3
pagina_60 <-> pagina_65                              3
pagina_60 <-> pagina_70                              3
pagina_63 <-> pagina_71                              3
pagina_63 <-> pagina_72                              3
pagina_63 <-> pagina_73                              3
pagina_63 <-> pagina_77                              3
pagina_63 <-> pagina_81                              3
pagina_65 <-> pagina_70                              3
pagina_66 <-> pagina_68                              3
pagina_66 <-> pagina_69                              3
pagina_66 <-> pagina_77                              3
pagina_68 <-> pagina_69                              3
