Resumen de solapamientos — Feature: feature_16455
Tolerancia: 0.0
Total coincidencias: 9032
Pares de páginas con solapamiento: 4143

Par de páginas                            Solapamientos
--------------------------------------------------------
pagina_27 <-> pagina_81                              7
pagina_43 <-> pagina_81                              7
pagina_1 <-> pagina_51                              6
pagina_13 <-> pagina_27                              6
pagina_13 <-> pagina_36                              6
pagina_13 <-> pagina_69                              6
pagina_13 <-> pagina_75                              6
pagina_13 <-> pagina_81                              6
pagina_37 <-> pagina_51                              6
pagina_37 <-> pagina_72                              6
pagina_69 <-> pagina_75                              6
pagina_1 <-> pagina_10                              5
pagina_1 <-> pagina_21                              5
pagina_1 <-> pagina_34                              5
pagina_1 <-> pagina_37                              5
pagina_1 <-> pagina_39                              5
pagina_1 <-> pagina_52                              5
pagina_1 <-> pagina_69                              5
pagina_1 <-> pagina_75                              5
pagina_1 <-> pagina_80                              5
pagina_1 <-> pagina_84                              5
pagina_1 <-> pagina_98                              5
pagina_10 <-> pagina_36                              5
pagina_10 <-> pagina_51                              5
pagina_10 <-> pagina_69                              5
pagina_100 <-> pagina_61                              5
pagina_100 <-> pagina_81                              5
pagina_13 <-> pagina_43                              5
pagina_13 <-> pagina_54                              5
pagina_15 <-> pagina_36                              5
pagina_15 <-> pagina_69                              5
pagina_15 <-> pagina_84                              5
pagina_17 <-> pagina_27                              5
pagina_20 <-> pagina_32                              5
pagina_21 <-> pagina_37                              5
pagina_21 <-> pagina_51                              5
pagina_21 <-> pagina_52                              5
pagina_21 <-> pagina_69                              5
pagina_21 <-> pagina_75                              5
pagina_21 <-> pagina_98                              5
pagina_23 <-> pagina_77                              5
pagina_24 <-> pagina_39                              5
pagina_27 <-> pagina_42                              5
pagina_27 <-> pagina_44                              5
pagina_27 <-> pagina_77                              5
pagina_28 <-> pagina_54                              5
pagina_28 <-> pagina_69                              5
pagina_28 <-> pagina_90                              5
pagina_34 <-> pagina_37                              5
pagina_34 <-> pagina_39                              5
pagina_34 <-> pagina_51                              5
pagina_34 <-> pagina_75                              5
pagina_36 <-> pagina_43                              5
pagina_36 <-> pagina_69                              5
pagina_36 <-> pagina_84                              5
pagina_37 <-> pagina_39                              5
pagina_37 <-> pagina_52                              5
pagina_37 <-> pagina_54                              5
pagina_37 <-> pagina_69                              5
pagina_37 <-> pagina_75                              5
pagina_37 <-> pagina_9                               5
pagina_37 <-> pagina_90                              5
pagina_37 <-> pagina_98                              5
pagina_39 <-> pagina_51                              5
