Resumen de solapamientos — Feature: feature_1
Tolerancia: 0.0
Total coincidencias: 11958
Pares de páginas con solapamiento: 2005

Par de páginas                            Solapamientos
--------------------------------------------------------
pagina_54 <-> pagina_77                             34
pagina_100 <-> pagina_79                             33
pagina_100 <-> pagina_77                             32
pagina_54 <-> pagina_79                             32
pagina_77 <-> pagina_92                             32
pagina_100 <-> pagina_8                              31
pagina_77 <-> pagina_79                             31
pagina_100 <-> pagina_54                             30
pagina_54 <-> pagina_92                             30
pagina_36 <-> pagina_8                              29
pagina_50 <-> pagina_58                             29
pagina_6 <-> pagina_77                             29
pagina_70 <-> pagina_84                             29
pagina_77 <-> pagina_8                              29
pagina_100 <-> pagina_6                              28
pagina_36 <-> pagina_6                              28
pagina_54 <-> pagina_8                              28
pagina_6 <-> pagina_8                              28
pagina_70 <-> pagina_92                             28
pagina_34 <-> pagina_70                             27
pagina_36 <-> pagina_70                             27
pagina_36 <-> pagina_77                             27
pagina_36 <-> pagina_79                             27
pagina_49 <-> pagina_57                             27
pagina_50 <-> pagina_70                             27
pagina_57 <-> pagina_77                             27
pagina_70 <-> pagina_79                             27
pagina_100 <-> pagina_50                             26
pagina_100 <-> pagina_57                             26
pagina_100 <-> pagina_70                             26
pagina_20 <-> pagina_49                             26
pagina_34 <-> pagina_84                             26
pagina_36 <-> pagina_54                             26
pagina_50 <-> pagina_79                             26
pagina_54 <-> pagina_57                             26
pagina_54 <-> pagina_6                              26
pagina_54 <-> pagina_70                             26
pagina_54 <-> pagina_84                             26
pagina_57 <-> pagina_8                              26
pagina_6 <-> pagina_79                             26
pagina_70 <-> pagina_77                             26
pagina_70 <-> pagina_8                              26
pagina_77 <-> pagina_84                             26
pagina_100 <-> pagina_36                             25
pagina_75 <-> pagina_92                             25
pagina_75 <-> pagina_99                             25
pagina_92 <-> pagina_99                             25
pagina_42 <-> pagina_8                              24
pagina_50 <-> pagina_77                             24
pagina_62 <-> pagina_8                              24
pagina_100 <-> pagina_20                             23
pagina_100 <-> pagina_75                             23
pagina_20 <-> pagina_54                             23
pagina_34 <-> pagina_50                             23
pagina_34 <-> pagina_77                             23
pagina_36 <-> pagina_92                             23
pagina_50 <-> pagina_54                             23
pagina_50 <-> pagina_57                             23
pagina_57 <-> pagina_92                             23
pagina_6 <-> pagina_70                             23
pagina_62 <-> pagina_77                             23
pagina_77 <-> pagina_99                             23
pagina_8 <-> pagina_92                             23
pagina_100 <-> pagina_49                             22
pagina_100 <-> pagina_92                             22
pagina_15 <-> pagina_26                             22
pagina_20 <-> pagina_87                             22
pagina_20 <-> pagina_92                             22
pagina_34 <-> pagina_54                             22
pagina_42 <-> pagina_6                              22
pagina_49 <-> pagina_54                             22
pagina_49 <-> pagina_77                             22
pagina_50 <-> pagina_84                             22
pagina_54 <-> pagina_75                             22
pagina_58 <-> pagina_84                             22
pagina_6 <-> pagina_84                             22
pagina_79 <-> pagina_92                             22
pagina_8 <-> pagina_99                             22
pagina_100 <-> pagina_34                             21
pagina_13 <-> pagina_15                             21
pagina_20 <-> pagina_57                             21
pagina_20 <-> pagina_79                             21
pagina_36 <-> pagina_42                             21
pagina_36 <-> pagina_62                             21
pagina_36 <-> pagina_84                             21
pagina_41 <-> pagina_49                             21
pagina_42 <-> pagina_77                             21
pagina_48 <-> pagina_49                             21
pagina_49 <-> pagina_50                             21
pagina_49 <-> pagina_79                             21
pagina_50 <-> pagina_75                             21
pagina_50 <-> pagina_8                              21
pagina_54 <-> pagina_58                             21
pagina_54 <-> pagina_87                             21
pagina_57 <-> pagina_75                             21
pagina_57 <-> pagina_82                             21
pagina_57 <-> pagina_84                             21
pagina_62 <-> pagina_70                             21
pagina_75 <-> pagina_77                             21
pagina_100 <-> pagina_62                             20
pagina_13 <-> pagina_26                             20
pagina_15 <-> pagina_64                             20
pagina_20 <-> pagina_50                             20
pagina_34 <-> pagina_92                             20
pagina_41 <-> pagina_75                             20
pagina_42 <-> pagina_54                             20
pagina_42 <-> pagina_62                             20
pagina_49 <-> pagina_87                             20
pagina_50 <-> pagina_92                             20
pagina_54 <-> pagina_99                             20
pagina_57 <-> pagina_70                             20
pagina_58 <-> pagina_70                             20
pagina_58 <-> pagina_77                             20
pagina_77 <-> pagina_82                             20
pagina_100 <-> pagina_13                             19
pagina_100 <-> pagina_42                             19
pagina_13 <-> pagina_64                             19
pagina_20 <-> pagina_48                             19
pagina_20 <-> pagina_8                              19
pagina_26 <-> pagina_74                             19
pagina_34 <-> pagina_79                             19
pagina_36 <-> pagina_58                             19
pagina_41 <-> pagina_77                             19
pagina_49 <-> pagina_75                             19
pagina_49 <-> pagina_8                              19
pagina_49 <-> pagina_92                             19
pagina_57 <-> pagina_79                             19
pagina_57 <-> pagina_99                             19
pagina_62 <-> pagina_79                             19
pagina_62 <-> pagina_92                             19
pagina_75 <-> pagina_82                             19
pagina_79 <-> pagina_84                             19
pagina_84 <-> pagina_92                             19
pagina_100 <-> pagina_73                             18
pagina_100 <-> pagina_84                             18
pagina_100 <-> pagina_99                             18
pagina_13 <-> pagina_74                             18
pagina_13 <-> pagina_99                             18
pagina_34 <-> pagina_36                             18
pagina_41 <-> pagina_50                             18
pagina_41 <-> pagina_73                             18
pagina_42 <-> pagina_84                             18
pagina_50 <-> pagina_6                              18
pagina_50 <-> pagina_64                             18
pagina_50 <-> pagina_73                             18
pagina_54 <-> pagina_62                             18
pagina_57 <-> pagina_87                             18
pagina_58 <-> pagina_79                             18
pagina_58 <-> pagina_8                              18
pagina_6 <-> pagina_62                             18
pagina_75 <-> pagina_8                              18
pagina_75 <-> pagina_84                             18
pagina_79 <-> pagina_8                              18
pagina_8 <-> pagina_84                             18
pagina_84 <-> pagina_99                             18
pagina_15 <-> pagina_74                             17
pagina_20 <-> pagina_77                             17
pagina_34 <-> pagina_6                              17
pagina_36 <-> pagina_75                             17
pagina_41 <-> pagina_57                             17
pagina_41 <-> pagina_82                             17
pagina_42 <-> pagina_50                             17
pagina_49 <-> pagina_6                              17
pagina_49 <-> pagina_82                             17
pagina_57 <-> pagina_6                              17
pagina_6 <-> pagina_92                             17
pagina_62 <-> pagina_87                             17
pagina_64 <-> pagina_8                              17
pagina_70 <-> pagina_75                             17
pagina_73 <-> pagina_75                             17
pagina_75 <-> pagina_79                             17
pagina_75 <-> pagina_87                             17
pagina_82 <-> pagina_99                             17
pagina_13 <-> pagina_75                             16
pagina_13 <-> pagina_78                             16
pagina_15 <-> pagina_52                             16
pagina_20 <-> pagina_36                             16
pagina_20 <-> pagina_62                             16
pagina_34 <-> pagina_62                             16
pagina_36 <-> pagina_49                             16
pagina_36 <-> pagina_50                             16
pagina_42 <-> pagina_57                             16
pagina_42 <-> pagina_92                             16
pagina_48 <-> pagina_87                             16
pagina_49 <-> pagina_62                             16
pagina_50 <-> pagina_87                             16
pagina_57 <-> pagina_73                             16
pagina_64 <-> pagina_70                             16
pagina_73 <-> pagina_82                             16
pagina_74 <-> pagina_99                             16
pagina_8 <-> pagina_82                             16
pagina_13 <-> pagina_52                             15
pagina_13 <-> pagina_8                              15
pagina_15 <-> pagina_99                             15
pagina_20 <-> pagina_6                              15
pagina_34 <-> pagina_8                              15
pagina_36 <-> pagina_87                             15
pagina_42 <-> pagina_79                             15
pagina_48 <-> pagina_54                             15
pagina_48 <-> pagina_79                             15
pagina_50 <-> pagina_82                             15
pagina_51 <-> pagina_75                             15
pagina_51 <-> pagina_99                             15
pagina_54 <-> pagina_64                             15
pagina_58 <-> pagina_6                              15
pagina_64 <-> pagina_75                             15
pagina_64 <-> pagina_92                             15
pagina_73 <-> pagina_77                             15
pagina_73 <-> pagina_92                             15
pagina_74 <-> pagina_78                             15
pagina_77 <-> pagina_87                             15
pagina_87 <-> pagina_92                             15
