Resumen de solapamientos — Feature: feature_193
Tolerancia: 0.0
Total coincidencias: 2966
Pares de páginas con solapamiento: 2944

Par de páginas                            Solapamientos
--------------------------------------------------------
pagina_16 <-> pagina_66                              2
pagina_37 <-> pagina_51                              2
pagina_37 <-> pagina_55                              2
pagina_37 <-> pagina_59                              2
pagina_37 <-> pagina_70                              2
pagina_37 <-> pagina_83                              2
pagina_37 <-> pagina_91                              2
pagina_51 <-> pagina_55                              2
pagina_51 <-> pagina_59                              2
pagina_51 <-> pagina_70                              2
pagina_51 <-> pagina_83                              2
pagina_51 <-> pagina_91                              2
pagina_55 <-> pagina_59                              2
pagina_55 <-> pagina_70                              2
pagina_55 <-> pagina_83                              2
pagina_55 <-> pagina_91                              2
pagina_59 <-> pagina_70                              2
pagina_59 <-> pagina_83                              2
pagina_59 <-> pagina_91                              2
pagina_70 <-> pagina_83                              2
pagina_70 <-> pagina_91                              2
pagina_83 <-> pagina_91                              2
pagina_1 <-> pagina_16                              1
pagina_1 <-> pagina_18                              1
pagina_1 <-> pagina_20                              1
pagina_1 <-> pagina_25                              1
pagina_1 <-> pagina_26                              1
pagina_1 <-> pagina_28                              1
pagina_1 <-> pagina_33                              1
pagina_1 <-> pagina_37                              1
pagina_1 <-> pagina_41                              1
pagina_1 <-> pagina_42                              1
pagina_1 <-> pagina_43                              1
pagina_1 <-> pagina_44                              1
pagina_1 <-> pagina_47                              1
pagina_1 <-> pagina_50                              1
pagina_1 <-> pagina_51                              1
pagina_1 <-> pagina_52                              1
pagina_1 <-> pagina_55                              1
pagina_1 <-> pagina_56                              1
pagina_1 <-> pagina_57                              1
pagina_1 <-> pagina_59                              1
pagina_1 <-> pagina_66                              1
pagina_1 <-> pagina_70                              1
pagina_1 <-> pagina_71                              1
pagina_1 <-> pagina_72                              1
pagina_1 <-> pagina_73                              1
pagina_1 <-> pagina_77                              1
pagina_1 <-> pagina_78                              1
pagina_1 <-> pagina_8                               1
pagina_1 <-> pagina_80                              1
pagina_1 <-> pagina_83                              1
pagina_1 <-> pagina_84                              1
pagina_1 <-> pagina_85                              1
pagina_1 <-> pagina_86                              1
pagina_1 <-> pagina_87                              1
pagina_1 <-> pagina_90                              1
pagina_1 <-> pagina_91                              1
pagina_1 <-> pagina_92                              1
pagina_1 <-> pagina_93                              1
pagina_1 <-> pagina_95                              1
pagina_1 <-> pagina_96                              1
pagina_10 <-> pagina_100                             1
pagina_10 <-> pagina_11                              1
pagina_10 <-> pagina_12                              1
pagina_10 <-> pagina_13                              1
pagina_10 <-> pagina_14                              1
pagina_10 <-> pagina_15                              1
pagina_10 <-> pagina_17                              1
pagina_10 <-> pagina_19                              1
pagina_10 <-> pagina_2                               1
pagina_10 <-> pagina_21                              1
pagina_10 <-> pagina_22                              1
pagina_10 <-> pagina_23                              1
pagina_10 <-> pagina_24                              1
pagina_10 <-> pagina_27                              1
pagina_10 <-> pagina_29                              1
pagina_10 <-> pagina_3                               1
pagina_10 <-> pagina_30                              1
pagina_10 <-> pagina_31                              1
pagina_10 <-> pagina_32                              1
pagina_10 <-> pagina_34                              1
pagina_10 <-> pagina_35                              1
pagina_10 <-> pagina_36                              1
pagina_10 <-> pagina_37                              1
pagina_10 <-> pagina_38                              1
pagina_10 <-> pagina_39                              1
pagina_10 <-> pagina_4                               1
pagina_10 <-> pagina_40                              1
pagina_10 <-> pagina_45                              1
pagina_10 <-> pagina_46                              1
pagina_10 <-> pagina_48                              1
pagina_10 <-> pagina_49                              1
pagina_10 <-> pagina_5                               1
pagina_10 <-> pagina_51                              1
pagina_10 <-> pagina_53                              1
pagina_10 <-> pagina_54                              1
pagina_10 <-> pagina_55                              1
pagina_10 <-> pagina_58                              1
pagina_10 <-> pagina_59                              1
pagina_10 <-> pagina_6                               1
pagina_10 <-> pagina_60                              1
pagina_10 <-> pagina_61                              1
pagina_10 <-> pagina_62                              1
pagina_10 <-> pagina_63                              1
pagina_10 <-> pagina_64                              1
pagina_10 <-> pagina_65                              1
pagina_10 <-> pagina_67                              1
pagina_10 <-> pagina_68                              1
pagina_10 <-> pagina_69                              1
pagina_10 <-> pagina_7                               1
pagina_10 <-> pagina_70                              1
pagina_10 <-> pagina_74                              1
pagina_10 <-> pagina_75                              1
pagina_10 <-> pagina_76                              1
pagina_10 <-> pagina_79                              1
pagina_10 <-> pagina_81                              1
pagina_10 <-> pagina_82                              1
pagina_10 <-> pagina_83                              1
pagina_10 <-> pagina_88                              1
pagina_10 <-> pagina_89                              1
pagina_10 <-> pagina_9                               1
pagina_10 <-> pagina_91                              1
pagina_10 <-> pagina_94                              1
pagina_10 <-> pagina_97                              1
pagina_10 <-> pagina_98                              1
pagina_10 <-> pagina_99                              1
pagina_100 <-> pagina_11                              1
pagina_100 <-> pagina_12                              1
pagina_100 <-> pagina_13                              1
pagina_100 <-> pagina_14                              1
pagina_100 <-> pagina_15                              1
pagina_100 <-> pagina_17                              1
pagina_100 <-> pagina_19                              1
pagina_100 <-> pagina_2                               1
pagina_100 <-> pagina_21                              1
pagina_100 <-> pagina_22                              1
pagina_100 <-> pagina_23                              1
pagina_100 <-> pagina_24                              1
pagina_100 <-> pagina_27                              1
pagina_100 <-> pagina_29                              1
pagina_100 <-> pagina_3                               1
pagina_100 <-> pagina_30                              1
pagina_100 <-> pagina_31                              1
pagina_100 <-> pagina_32                              1
pagina_100 <-> pagina_34                              1
pagina_100 <-> pagina_35                              1
pagina_100 <-> pagina_36                              1
pagina_100 <-> pagina_37                              1
pagina_100 <-> pagina_38                              1
pagina_100 <-> pagina_39                              1
pagina_100 <-> pagina_4                               1
pagina_100 <-> pagina_40                              1
pagina_100 <-> pagina_45                              1
pagina_100 <-> pagina_46                              1
pagina_100 <-> pagina_48                              1
pagina_100 <-> pagina_49                              1
pagina_100 <-> pagina_5                               1
pagina_100 <-> pagina_51                              1
pagina_100 <-> pagina_53                              1
pagina_100 <-> pagina_54                              1
pagina_100 <-> pagina_55                              1
pagina_100 <-> pagina_58                              1
pagina_100 <-> pagina_59                              1
pagina_100 <-> pagina_6                               1
pagina_100 <-> pagina_60                              1
pagina_100 <-> pagina_61                              1
pagina_100 <-> pagina_62                              1
pagina_100 <-> pagina_63                              1
pagina_100 <-> pagina_64                              1
pagina_100 <-> pagina_65                              1
pagina_100 <-> pagina_67                              1
pagina_100 <-> pagina_68                              1
pagina_100 <-> pagina_69                              1
pagina_100 <-> pagina_7                               1
pagina_100 <-> pagina_70                              1
pagina_100 <-> pagina_74                              1
pagina_100 <-> pagina_75                              1
pagina_100 <-> pagina_76                              1
pagina_100 <-> pagina_79                              1
pagina_100 <-> pagina_81                              1
pagina_100 <-> pagina_82                              1
pagina_100 <-> pagina_83                              1
pagina_100 <-> pagina_88                              1
pagina_100 <-> pagina_89                              1
pagina_100 <-> pagina_9                               1
pagina_100 <-> pagina_91                              1
pagina_100 <-> pagina_94                              1
pagina_100 <-> pagina_97                              1
pagina_100 <-> pagina_98                              1
pagina_100 <-> pagina_99                              1
pagina_11 <-> pagina_12                              1
pagina_11 <-> pagina_13                              1
pagina_11 <-> pagina_14                              1
pagina_11 <-> pagina_15                              1
pagina_11 <-> pagina_17                              1
pagina_11 <-> pagina_19                              1
pagina_11 <-> pagina_2                               1
pagina_11 <-> pagina_21                              1
pagina_11 <-> pagina_22                              1
pagina_11 <-> pagina_23                              1
pagina_11 <-> pagina_24                              1
pagina_11 <-> pagina_27                              1
pagina_11 <-> pagina_29                              1
pagina_11 <-> pagina_3                               1
pagina_11 <-> pagina_30                              1
pagina_11 <-> pagina_31                              1
pagina_11 <-> pagina_32                              1
pagina_11 <-> pagina_34                              1
